irr-C20-1	1 x (irr-A1-1)
irr-C20-40-q	1 x (irr-A1-40-q)
irr-C20-779	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-13) + 1 x (irr-A1-17) + 1 x (irr-A1-21) + 1 x (irr-A1-25) + 1 x (irr-A1-29) + 1 x (irr-A1-33) + 1 x (irr-A1-37) + 1 x (irr-A1-41) + 1 x (irr-A1-45) + 1 x (irr-A1-49) + 1 x (irr-A1-53) + 1 x (irr-A1-57) + 1 x (irr-A1-61) + 1 x (irr-A1-65) + 1 x (irr-A1-69) + 1 x (irr-A1-73) + 1 x (irr-A1-77)
irr-C20-820	1 x (irr-A1-3) + 1 x (irr-A1-7) + 1 x (irr-A1-11) + 1 x (irr-A1-15) + 1 x (irr-A1-19) + 1 x (irr-A1-23) + 1 x (irr-A1-27) + 1 x (irr-A1-31) + 1 x (irr-A1-35) + 1 x (irr-A1-39) + 1 x (irr-A1-43) + 1 x (irr-A1-47) + 1 x (irr-A1-51) + 1 x (irr-A1-55) + 1 x (irr-A1-59) + 1 x (irr-A1-63) + 1 x (irr-A1-67) + 1 x (irr-A1-71) + 1 x (irr-A1-75) + 1 x (irr-A1-79)
