vtx-A04-275-64-24-d	Δ = 275	bi.bi = 64	b0.bi = 24	hypers = 3 x (irr-A4-5) + 1 x (irr-A4-10) + 6 x (irr-A4-15) + 1 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-45) + 1 x (irr-A4-75)
vtx-A04-275-64-24-e	Δ = 275	bi.bi = 64	b0.bi = 24	hypers = 2 x (irr-A4-5) + 2 x (irr-A4-10) + 6 x (irr-A4-15) + 1 x (irr-A4-24) + 2 x (irr-A4-40) + 1 x (irr-A4-75)
vtx-A04-275-64-24-f	Δ = 275	bi.bi = 64	b0.bi = 24	hypers = 2 x (irr-A4-5) + 2 x (irr-A4-10) + 5 x (irr-A4-15) + 1 x (irr-A4-24) + 3 x (irr-A4-40) + 1 x (irr-A4-50)
vtx-A04-275-81-27-a	Δ = 275	bi.bi = 81	b0.bi = 27	hypers = 1 x (irr-A4-10) + 1 x (irr-A4-24) + 1 x (irr-A4-35) + 4 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-275-81-27-b	Δ = 275	bi.bi = 81	b0.bi = 27	hypers = 2 x (irr-A4-10) + 1 x (irr-A4-24) + 3 x (irr-A4-45) + 1 x (irr-A4-50) + 1 x (irr-A4-70a)
vtx-A04-276-16-12-a	Δ = 276	bi.bi = 16	b0.bi = 12	hypers = 37 x (irr-A4-5) + 7 x (irr-A4-10) + 1 x (irr-A4-45)
vtx-A04-276-16-12-b	Δ = 276	bi.bi = 16	b0.bi = 12	hypers = 36 x (irr-A4-5) + 8 x (irr-A4-10) + 1 x (irr-A4-40)
vtx-A04-276-25-15-a	Δ = 276	bi.bi = 25	b0.bi = 15	hypers = 16 x (irr-A4-5) + 13 x (irr-A4-10) + 3 x (irr-A4-15) + 1 x (irr-A4-45)
vtx-A04-276-25-15-b	Δ = 276	bi.bi = 25	b0.bi = 15	hypers = 15 x (irr-A4-5) + 14 x (irr-A4-10) + 3 x (irr-A4-15) + 1 x (irr-A4-40)
vtx-A04-276-36-18-a	Δ = 276	bi.bi = 36	b0.bi = 18	hypers = 4 x (irr-A4-5) + 14 x (irr-A4-10) + 4 x (irr-A4-15) + 2 x (irr-A4-40)
vtx-A04-276-36-18-b	Δ = 276	bi.bi = 36	b0.bi = 18	hypers = 6 x (irr-A4-5) + 12 x (irr-A4-10) + 4 x (irr-A4-15) + 2 x (irr-A4-45)
vtx-A04-276-36-18-c	Δ = 276	bi.bi = 36	b0.bi = 18	hypers = 5 x (irr-A4-5) + 13 x (irr-A4-10) + 4 x (irr-A4-15) + 1 x (irr-A4-40) + 1 x (irr-A4-45)
vtx-A04-276-49-21-a	Δ = 276	bi.bi = 49	b0.bi = 21	hypers = 5 x (irr-A4-5) + 6 x (irr-A4-10) + 3 x (irr-A4-15) + 2 x (irr-A4-40) + 2 x (irr-A4-45)
vtx-A04-276-49-21-b	Δ = 276	bi.bi = 49	b0.bi = 21	hypers = 4 x (irr-A4-5) + 7 x (irr-A4-10) + 3 x (irr-A4-15) + 3 x (irr-A4-40) + 1 x (irr-A4-45)
vtx-A04-276-49-21-c	Δ = 276	bi.bi = 49	b0.bi = 21	hypers = 7 x (irr-A4-5) + 4 x (irr-A4-10) + 3 x (irr-A4-15) + 4 x (irr-A4-45)
vtx-A04-276-49-21-d	Δ = 276	bi.bi = 49	b0.bi = 21	hypers = 3 x (irr-A4-5) + 8 x (irr-A4-10) + 3 x (irr-A4-15) + 4 x (irr-A4-40)
vtx-A04-276-49-21-e	Δ = 276	bi.bi = 49	b0.bi = 21	hypers = 6 x (irr-A4-5) + 5 x (irr-A4-10) + 3 x (irr-A4-15) + 1 x (irr-A4-40) + 3 x (irr-A4-45)
