irr-D4-8a	8	2	4	0	(1,0,0,0)
irr-D4-8b	8	2	-2	1.5	(0,0,1,0)
irr-D4-28	28	12	0	12	(0,1,0,0)
irr-D4-35a	35	20	64	12	(2,0,0,0)
irr-D4-35b	35	20	-32	36	(0,0,2,0)
irr-D4-56a	56	30	-36	48	(0,0,1,1)
irr-D4-56b	56	30	18	34.5	(1,0,1,0)
irr-D4-112a	112	108	504	144	(3,0,0,0)
irr-D4-112b	112	108	-252	333	(0,0,3,0)
irr-D4-160a	160	120	144	192	(1,1,0,0)
irr-D4-160b	160	120	-72	246	(0,1,1,0)
irr-D4-224a	224	200	424	354	(2,0,1,0)
irr-D4-224b	224	200	-344	546	(0,0,2,1)
irr-D4-224c	224	200	-80	480	(1,0,2,0)
irr-D4-294a	294	420	2688	924	(4,0,0,0)
irr-D4-294b	294	420	-1344	1932	(0,0,4,0)
irr-D4-300	300	300	0	780	(0,2,0,0)
irr-D4-350	350	300	0	660	(1,0,1,1)
