irr-B3-7	7	2	4	0	(1,0,0)
irr-B3-8	8	2	-2	1.5	(0,0,1)
irr-B3-21	21	10	-4	12	(0,1,0)
irr-B3-27	27	18	60	12	(2,0,0)
irr-B3-35	35	20	-32	36	(0,0,2)
irr-B3-48	48	28	20	33	(1,0,1)
irr-B3-77	77	88	440	132	(3,0,0)
irr-B3-105	105	90	84	168	(1,1,0)
irr-B3-112a	112	92	-92	213	(0,1,1)
irr-B3-112b	112	108	-252	333	(0,0,3)
irr-B3-168a	168	170	406	319.5	(2,0,1)
irr-B3-168b	168	192	-144	600	(0,2,0)
irr-B3-182	182	312	2184	780	(4,0,0)
irr-B3-189	189	180	-48	444	(1,0,2)
irr-B3-294	294	420	-1344	1932	(0,0,4)
irr-B3-330	330	440	1144	1188	(2,1,0)
irr-B3-378a	378	468	-816	1716	(0,1,2)
irr-B3-378b	378	900	8400	3300	(5,0,0)
irr-B3-448	448	688	2960	1908	(3,0,1)
irr-B3-512	512	640	128	2016	(1,1,1)
irr-B3-560	560	780	-972	3081	(1,0,3)
irr-B3-616	616	880	1232	2904	(2,0,2)
irr-B3-672	672	1320	-5544	8382	(0,0,5)
irr-B3-693	693	1122	396	4620	(1,2,0)
irr-B3-714	714	2244	26928	11220	(6,0,0)
irr-B3-720	720	1140	-1524	5127	(0,2,1)
irr-B3-819	819	1560	7176	5772	(3,1,0)
irr-B3-825	825	1650	-1980	9240	(0,3,0)
